"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00047 0 -0.000564
"2" 1750.125 -0.00366 -0.00155 -0.002532
"3" 1750.209 -0.00685 -0.0031 -0.004488
"4" 1750.292 -0.01003 -0.00465 -0.006456
"5" 1750.375 -0.01322 -0.0062 -0.008412
"6" 1750.459 -0.0164 -0.00776 -0.01038
"7" 1750.542 -0.01959 -0.00931 -0.012336
"8" 1750.625 -0.02278 -0.01086 -0.014304
"9" 1750.709 -0.02596 -0.01241 -0.01626
"10" 1750.792 -0.02915 -0.01396 -0.018228
"11" 1750.875 -0.03233 -0.01551 -0.020184
"12" 1750.959 -0.03552 -0.01706 -0.022152
"13" 1751.042 -0.0387 -0.01861 -0.024108
"14" 1751.125 -0.04058 -0.01862 -0.026352
"15" 1751.209 -0.04241 -0.01856 -0.02862
"16" 1751.292 -0.04423 -0.0185 -0.030876
"17" 1751.375 -0.04606 -0.01845 -0.033132
"18" 1751.459 -0.04788 -0.01839 -0.035388
"19" 1751.542 -0.0497 -0.01833 -0.037644
"20" 1751.625 -0.05153 -0.01827 -0.039912
"21" 1751.709 -0.05335 -0.01821 -0.042168
"22" 1751.792 -0.05518 -0.01816 -0.044424
"23" 1751.875 -0.057 -0.0181 -0.04668
"24" 1751.959 -0.05882 -0.01804 -0.048936
"25" 1752.042 -0.06065 -0.01798 -0.051204
"26" 1752.125 -0.0612 -0.01794 -0.051924
"27" 1752.209 -0.06165 -0.01789 -0.052512
"28" 1752.292 -0.06209 -0.01784 -0.0531
"29" 1752.375 -0.06253 -0.01779 -0.053688
"30" 1752.459 -0.06297 -0.01775 -0.054264
"31" 1752.542 -0.06341 -0.0177 -0.054852
"32" 1752.625 -0.06386 -0.01765 -0.05544
"33" 1752.709 -0.0643 -0.01761 -0.056028
"34" 1752.792 -0.06474 -0.01756 -0.056616
"35" 1752.875 -0.06518 -0.01751 -0.057204
"36" 1752.959 -0.06562 -0.01747 -0.057792
"37" 1753.042 -0.06607 -0.01742 -0.05838
"38" 1753.125 -0.06712 -0.01737 -0.0597
"39" 1753.209 -0.06826 -0.01732 -0.061116
"40" 1753.292 -0.06939 -0.01727 -0.062544
"41" 1753.375 -0.07053 -0.01723 -0.06396
"42" 1753.459 -0.07167 -0.01718 -0.065388
"43" 1753.542 -0.0728 -0.01713 -0.066804
"44" 1753.625 -0.07394 -0.01708 -0.068232
"45" 1753.709 -0.07508 -0.01703 -0.069648
"46" 1753.792 -0.07621 -0.01698 -0.071076
"47" 1753.875 -0.07735 -0.01693 -0.072492
"48" 1753.959 -0.07849 -0.01689 -0.07392
"49" 1754.042 -0.07962 -0.01684 -0.075348
"50" 1754.125 -0.12458 -0.0168 -0.129336
"51" 1754.209 -0.17814 -0.01675 -0.193668
"52" 1754.292 -0.23171 -0.01671 -0.257988
"53" 1754.375 -0.28527 -0.01667 -0.32232
"54" 1754.459 -0.33883 -0.01663 -0.38664
"55" 1754.542 -0.3924 -0.01659 -0.45096
"56" 1754.625 -0.44596 -0.01655 -0.515292
"57" 1754.709 -0.49952 -0.01651 -0.579612
"58" 1754.792 -0.55309 -0.01647 -0.643944
"59" 1754.875 -0.60665 -0.01643 -0.708264
"60" 1754.959 -0.66021 -0.01639 -0.772596
"61" 1755.042 -0.71378 -0.01634 -0.836916
"62" 1755.125 -0.68329 -0.01631 -0.800376
"63" 1755.209 -0.63111 -0.01627 -0.737796
"64" 1755.292 -0.57892 -0.01624 -0.675216
"65" 1755.375 -0.52673 -0.0162 -0.612636
"66" 1755.459 -0.47455 -0.01616 -0.550056
"67" 1755.542 -0.42236 -0.01613 -0.487476
"68" 1755.625 -0.37018 -0.01609 -0.424896
"69" 1755.709 -0.31799 -0.01606 -0.362316
"70" 1755.792 -0.2658 -0.01602 -0.299736
"71" 1755.875 -0.21362 -0.01598 -0.237156
"72" 1755.959 -0.16143 -0.01595 -0.174576
"73" 1756.042 -0.10925 -0.01591 -0.111996
"74" 1756.125 -0.09576 -0.0159 -0.095832
"75" 1756.209 -0.09491 -0.0159 -0.094812
"76" 1756.292 -0.09406 -0.01589 -0.093804
"77" 1756.375 -0.09321 -0.01589 -0.092796
"78" 1756.459 -0.09236 -0.01588 -0.091776
