"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00056 0 -0.000672
"2" 1750.125 -0.00231 -0.00142 -0.001056
"3" 1750.209 -0.00406 -0.00285 -0.001452
"4" 1750.292 -0.0058 -0.00427 -0.001836
"5" 1750.375 -0.00755 -0.0057 -0.002232
"6" 1750.459 -0.0093 -0.00712 -0.002616
"7" 1750.542 -0.01105 -0.00855 -0.003
"8" 1750.625 -0.0128 -0.00997 -0.003396
"9" 1750.709 -0.01455 -0.0114 -0.00378
"10" 1750.792 -0.01629 -0.01282 -0.004164
"11" 1750.875 -0.01804 -0.01425 -0.00456
"12" 1750.959 -0.01979 -0.01567 -0.004944
"13" 1751.042 -0.02154 -0.01709 -0.005328
"14" 1751.125 -0.02194 -0.01708 -0.005832
"15" 1751.209 -0.02228 -0.01701 -0.006324
"16" 1751.292 -0.02263 -0.01694 -0.006828
"17" 1751.375 -0.02297 -0.01687 -0.007332
"18" 1751.459 -0.02332 -0.01679 -0.007824
"19" 1751.542 -0.02366 -0.01672 -0.008328
"20" 1751.625 -0.024 -0.01665 -0.00882
"21" 1751.709 -0.02435 -0.01658 -0.009324
"22" 1751.792 -0.02469 -0.0165 -0.009828
"23" 1751.875 -0.02503 -0.01643 -0.01032
"24" 1751.959 -0.02538 -0.01636 -0.010824
"25" 1752.042 -0.02572 -0.01629 -0.011328
"26" 1752.125 -0.02579 -0.01622 -0.011484
"27" 1752.209 -0.02582 -0.01615 -0.011616
"28" 1752.292 -0.02586 -0.01608 -0.011748
"29" 1752.375 -0.0259 -0.01601 -0.011868
"30" 1752.459 -0.02594 -0.01594 -0.012
"31" 1752.542 -0.02598 -0.01587 -0.012132
"32" 1752.625 -0.02602 -0.0158 -0.012264
"33" 1752.709 -0.02606 -0.01574 -0.012396
"34" 1752.792 -0.0261 -0.01567 -0.012516
"35" 1752.875 -0.02614 -0.0156 -0.012648
"36" 1752.959 -0.02618 -0.01553 -0.01278
"37" 1753.042 -0.02622 -0.01546 -0.012912
"38" 1753.125 -0.02639 -0.01539 -0.0132
"39" 1753.209 -0.02659 -0.01532 -0.013512
"40" 1753.292 -0.02678 -0.01526 -0.013836
"41" 1753.375 -0.02698 -0.01519 -0.014148
"42" 1753.459 -0.02717 -0.01512 -0.01446
"43" 1753.542 -0.02736 -0.01505 -0.014772
"44" 1753.625 -0.02756 -0.01498 -0.015084
"45" 1753.709 -0.02775 -0.01491 -0.015408
"46" 1753.792 -0.02794 -0.01485 -0.01572
"47" 1753.875 -0.02814 -0.01478 -0.016032
"48" 1753.959 -0.02833 -0.01471 -0.016344
"49" 1754.042 -0.02853 -0.01464 -0.016656
"50" 1754.125 -0.08035 -0.01458 -0.078924
"51" 1754.209 -0.14231 -0.01451 -0.15336
"52" 1754.292 -0.20428 -0.01445 -0.227796
"53" 1754.375 -0.26624 -0.01438 -0.302232
"54" 1754.459 -0.32821 -0.01432 -0.376668
"55" 1754.542 -0.39017 -0.01426 -0.451104
"56" 1754.625 -0.45214 -0.01419 -0.52554
"57" 1754.709 -0.51411 -0.01413 -0.599976
"58" 1754.792 -0.57607 -0.01406 -0.674412
"59" 1754.875 -0.63804 -0.014 -0.748836
"60" 1754.959 -0.7 -0.01394 -0.823272
"61" 1755.042 -0.76197 -0.01387 -0.897708
"62" 1755.125 -0.7256 -0.01382 -0.854136
"63" 1755.209 -0.66383 -0.01376 -0.780084
"64" 1755.292 -0.60207 -0.01371 -0.706032
"65" 1755.375 -0.54031 -0.01366 -0.631992
"66" 1755.459 -0.47855 -0.0136 -0.55794
"67" 1755.542 -0.41679 -0.01355 -0.483888
"68" 1755.625 -0.35503 -0.01349 -0.409836
"69" 1755.709 -0.29327 -0.01344 -0.335796
"70" 1755.792 -0.23151 -0.01339 -0.261744
"71" 1755.875 -0.16975 -0.01333 -0.187692
"72" 1755.959 -0.10798 -0.01328 -0.11364
"73" 1756.042 -0.04622 -0.01323 -0.0396
"74" 1756.125 -0.03085 -0.01319 -0.021192
"75" 1756.209 -0.03062 -0.01315 -0.020964
"76" 1756.292 -0.0304 -0.01311 -0.020748
"77" 1756.375 -0.03018 -0.01308 -0.02052
"78" 1756.459 -0.02995 -0.01304 -0.020292
"79" 1756.542 -0.02973 -0.013 -0.020076
"80" 1756.625 -0.02951 -0.01297 -0.019848
"81" 1756.709 -0.02928 -0.01293 -0.01962
"82" 1756.792 -0.02906 -0.01289 -0.019404
"83" 1756.875 -0.02884 -0.01286 -0.019176
"84" 1756.959 -0.02861 -0.01282 -0.01896
"85" 1757.042 -0.02839 -0.01278 -0.018732
