"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00047 0 -0.000564
"2" 1750.125 -0.00361 -0.00182 -0.002148
"3" 1750.209 -0.00675 -0.00364 -0.003732
"4" 1750.292 -0.0099 -0.00546 -0.005328
"5" 1750.375 -0.01304 -0.00728 -0.006912
"6" 1750.459 -0.01618 -0.0091 -0.008496
"7" 1750.542 -0.01932 -0.01092 -0.01008
"8" 1750.625 -0.02246 -0.01274 -0.011664
"9" 1750.709 -0.02561 -0.01456 -0.01326
"10" 1750.792 -0.02875 -0.01638 -0.014844
"11" 1750.875 -0.03189 -0.0182 -0.016428
"12" 1750.959 -0.03503 -0.02002 -0.018012
"13" 1751.042 -0.03818 -0.02184 -0.019608
"14" 1751.125 -0.03985 -0.022 -0.021432
"15" 1751.209 -0.04147 -0.02208 -0.023268
"16" 1751.292 -0.04308 -0.02216 -0.025104
"17" 1751.375 -0.0447 -0.02225 -0.02694
"18" 1751.459 -0.04631 -0.02233 -0.028776
"19" 1751.542 -0.04793 -0.02242 -0.030612
"20" 1751.625 -0.04954 -0.0225 -0.032448
"21" 1751.709 -0.05115 -0.02259 -0.034284
"22" 1751.792 -0.05277 -0.02267 -0.03612
"23" 1751.875 -0.05438 -0.02275 -0.037956
"24" 1751.959 -0.056 -0.02284 -0.039792
"25" 1752.042 -0.05761 -0.02292 -0.041628
"26" 1752.125 -0.05818 -0.023 -0.042216
"27" 1752.209 -0.05866 -0.02308 -0.042696
"28" 1752.292 -0.05914 -0.02316 -0.043164
"29" 1752.375 -0.05961 -0.02324 -0.043644
"30" 1752.459 -0.06009 -0.02332 -0.044124
"31" 1752.542 -0.06057 -0.0234 -0.044604
"32" 1752.625 -0.06104 -0.02348 -0.045072
"33" 1752.709 -0.06152 -0.02356 -0.045552
"34" 1752.792 -0.062 -0.02364 -0.046032
"35" 1752.875 -0.06247 -0.02372 -0.046512
"36" 1752.959 -0.06295 -0.0238 -0.04698
"37" 1753.042 -0.06343 -0.02388 -0.04746
"38" 1753.125 -0.0644 -0.02396 -0.048528
"39" 1753.209 -0.06545 -0.02404 -0.049692
"40" 1753.292 -0.0665 -0.02413 -0.050844
"41" 1753.375 -0.06754 -0.02421 -0.052008
"42" 1753.459 -0.06859 -0.02429 -0.05316
"43" 1753.542 -0.06964 -0.02437 -0.054312
"44" 1753.625 -0.07068 -0.02446 -0.055476
"45" 1753.709 -0.07173 -0.02454 -0.056628
"46" 1753.792 -0.07278 -0.02462 -0.05778
"47" 1753.875 -0.07382 -0.0247 -0.058944
"48" 1753.959 -0.07487 -0.02479 -0.060096
"49" 1754.042 -0.07591 -0.02487 -0.06126
"50" 1754.125 -0.1203 -0.02496 -0.114408
"51" 1754.209 -0.17319 -0.02505 -0.177768
"52" 1754.292 -0.22608 -0.02514 -0.241128
"53" 1754.375 -0.27897 -0.02523 -0.304488
"54" 1754.459 -0.33187 -0.02532 -0.367848
"55" 1754.542 -0.38476 -0.02541 -0.43122
"56" 1754.625 -0.43765 -0.0255 -0.49458
"57" 1754.709 -0.49054 -0.02559 -0.55794
"58" 1754.792 -0.54344 -0.02568 -0.6213
"59" 1754.875 -0.59633 -0.02578 -0.68466
"60" 1754.959 -0.64922 -0.02587 -0.74802
"61" 1755.042 -0.70211 -0.02596 -0.811392
"62" 1755.125 -0.67202 -0.02606 -0.775164
"63" 1755.209 -0.62051 -0.02616 -0.71322
"64" 1755.292 -0.56899 -0.02626 -0.651276
"65" 1755.375 -0.51747 -0.02637 -0.589332
"66" 1755.459 -0.46596 -0.02647 -0.527388
"67" 1755.542 -0.41444 -0.02657 -0.465444
"68" 1755.625 -0.36293 -0.02668 -0.4035
"69" 1755.709 -0.31141 -0.02678 -0.341556
"70" 1755.792 -0.25989 -0.02688 -0.279612
"71" 1755.875 -0.20838 -0.02699 -0.217668
"72" 1755.959 -0.15686 -0.02709 -0.155724
"73" 1756.042 -0.10534 -0.02719 -0.09378
"74" 1756.125 -0.09223 -0.0273 -0.077904
"75" 1756.209 -0.09165 -0.02742 -0.077088
"76" 1756.292 -0.09108 -0.02753 -0.07626
"77" 1756.375 -0.09051 -0.02765 -0.075444
"78" 1756.459 -0.08994 -0.02776 -0.074616
"79" 1756.542 -0.08937 -0.02787 -0.0738
"80" 1756.625 -0.0888 -0.02799 -0.072972
"81" 1756.709 -0.08823 -0.0281 -0.072144
"82" 1756.792 -0.08766 -0.02822 -0.071328
"83" 1756.875 -0.08708 -0.02833 -0.0705
"84" 1756.959 -0.08651 -0.02844 -0.069684
"85" 1757.042 -0.08594 -0.02856 -0.068856
"86" 1757.125 -0.08599 -0.02867 -0.068796
"87" 1757.209 -0.08629 -0.02877 -0.069036
"88" 1757.292 -0.0866 -0.02887 -0.069264
"89" 1757.375 -0.0869 -0.02897 -0.069504
"90" 1757.459 -0.0872 -0.02908 -0.069744
"91" 1757.542 -0.0875 -0.02918 -0.069984
"92" 1757.625 -0.0878 -0.02928 -0.070224
"93" 1757.709 -0.0881 -0.02939 -0.070464
"94" 1757.792 -0.08841 -0.02949 -0.070704
"95" 1757.875 -0.08871 -0.02959 -0.070944
"96" 1757.959 -0.08901 -0.0297 -0.071172
"97" 1758.042 -0.08931 -0.0298 -0.071412
"98" 1758.125 -0.09297 -0.02991 -0.07566
"99" 1758.209 -0.09826 -0.03003 -0.081876
"100" 1758.292 -0.10356 -0.03015 -0.088092
"101" 1758.375 -0.10885 -0.03027 -0.094296
"102" 1758.459 -0.11414 -0.03038 -0.100512
"103" 1758.542 -0.11944 -0.0305 -0.106728
"104" 1758.625 -0.12473 -0.03062 -0.112932
"105" 1758.709 -0.13003 -0.03074 -0.119148
"106" 1758.792 -0.13532 -0.03086 -0.125364
"107" 1758.875 -0.14062 -0.03097 -0.131568
"108" 1758.959 -0.14591 -0.03109 -0.137784
