"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00054 0 -0.000648
"2" 1750.125 -0.00352 -0.00189 -0.001956
"3" 1750.209 -0.0065 -0.00379 -0.003264
"4" 1750.292 -0.00948 -0.00568 -0.004572
"5" 1750.375 -0.01247 -0.00757 -0.00588
"6" 1750.459 -0.01545 -0.00946 -0.007188
"7" 1750.542 -0.01843 -0.01136 -0.008484
"8" 1750.625 -0.02142 -0.01325 -0.009792
"9" 1750.709 -0.0244 -0.01514 -0.0111
"10" 1750.792 -0.02738 -0.01704 -0.012408
"11" 1750.875 -0.03036 -0.01893 -0.013716
"12" 1750.959 -0.03335 -0.02082 -0.015024
"13" 1751.042 -0.03633 -0.02272 -0.016332
"14" 1751.125 -0.03772 -0.02284 -0.017856
"15" 1751.209 -0.03904 -0.02288 -0.019392
"16" 1751.292 -0.04036 -0.02293 -0.020916
"17" 1751.375 -0.04168 -0.02297 -0.022452
"18" 1751.459 -0.043 -0.02302 -0.023976
"19" 1751.542 -0.04432 -0.02306 -0.025512
"20" 1751.625 -0.04564 -0.02311 -0.027036
"21" 1751.709 -0.04696 -0.02316 -0.028572
"22" 1751.792 -0.04828 -0.0232 -0.030096
"23" 1751.875 -0.0496 -0.02325 -0.031632
"24" 1751.959 -0.05092 -0.02329 -0.033156
"25" 1752.042 -0.05224 -0.02334 -0.034692
"26" 1752.125 -0.0527 -0.02338 -0.035172
"27" 1752.209 -0.05307 -0.02342 -0.03558
"28" 1752.292 -0.05345 -0.02347 -0.035976
"29" 1752.375 -0.05382 -0.02351 -0.036372
"30" 1752.459 -0.05419 -0.02356 -0.036768
"31" 1752.542 -0.05457 -0.0236 -0.037164
"32" 1752.625 -0.05494 -0.02364 -0.03756
"33" 1752.709 -0.05532 -0.02369 -0.037956
"34" 1752.792 -0.05569 -0.02373 -0.038352
"35" 1752.875 -0.05607 -0.02377 -0.038748
"36" 1752.959 -0.05644 -0.02382 -0.039156
"37" 1753.042 -0.05682 -0.02386 -0.039552
"38" 1753.125 -0.05761 -0.02391 -0.04044
"39" 1753.209 -0.05846 -0.02395 -0.041412
"40" 1753.292 -0.05931 -0.024 -0.042372
"41" 1753.375 -0.06016 -0.02405 -0.043332
"42" 1753.459 -0.06101 -0.02409 -0.044292
"43" 1753.542 -0.06186 -0.02414 -0.045264
"44" 1753.625 -0.06271 -0.02419 -0.046224
"45" 1753.709 -0.06356 -0.02423 -0.047184
"46" 1753.792 -0.06441 -0.02428 -0.048156
"47" 1753.875 -0.06526 -0.02433 -0.049116
"48" 1753.959 -0.06611 -0.02437 -0.050076
"49" 1754.042 -0.06696 -0.02442 -0.051048
"50" 1754.125 -0.11734 -0.02447 -0.111444
"51" 1754.209 -0.17746 -0.02453 -0.183516
"52" 1754.292 -0.23757 -0.02458 -0.255588
"53" 1754.375 -0.29769 -0.02464 -0.32766
"54" 1754.459 -0.35781 -0.02469 -0.399744
"55" 1754.542 -0.41792 -0.02475 -0.471816
"56" 1754.625 -0.47804 -0.0248 -0.543888
"57" 1754.709 -0.53816 -0.02485 -0.61596
"58" 1754.792 -0.59827 -0.02491 -0.688032
"59" 1754.875 -0.65839 -0.02496 -0.760116
"60" 1754.959 -0.7185 -0.02502 -0.832188
"61" 1755.042 -0.77862 -0.02507 -0.90426
"62" 1755.125 -0.74405 -0.02513 -0.862704
"63" 1755.209 -0.68503 -0.02519 -0.79182
"64" 1755.292 -0.62601 -0.02525 -0.720924
"65" 1755.375 -0.567 -0.0253 -0.650028
"66" 1755.459 -0.50798 -0.02536 -0.579144
"67" 1755.542 -0.44896 -0.02542 -0.508248
"68" 1755.625 -0.38994 -0.02548 -0.437352
"69" 1755.709 -0.33092 -0.02554 -0.366468
"70" 1755.792 -0.2719 -0.02559 -0.295572
"71" 1755.875 -0.21288 -0.02565 -0.224676
"72" 1755.959 -0.15387 -0.02571 -0.153792
"73" 1756.042 -0.09485 -0.02577 -0.082896
"74" 1756.125 -0.07994 -0.02584 -0.06492
"75" 1756.209 -0.07944 -0.02591 -0.064236
"76" 1756.292 -0.07895 -0.02599 -0.063552
"77" 1756.375 -0.07845 -0.02607 -0.062868
"78" 1756.459 -0.07796 -0.02614 -0.062184
"79" 1756.542 -0.07746 -0.02622 -0.061488
"80" 1756.625 -0.07697 -0.02629 -0.060804
"81" 1756.709 -0.07647 -0.02637 -0.06012
"82" 1756.792 -0.07598 -0.02645 -0.059436
"83" 1756.875 -0.07548 -0.02652 -0.058752
"84" 1756.959 -0.07499 -0.0266 -0.058068
"85" 1757.042 -0.07449 -0.02667 -0.057384
"86" 1757.125 -0.07451 -0.02674 -0.057324
"87" 1757.209 -0.07473 -0.0268 -0.057528
"88" 1757.292 -0.07496 -0.02685 -0.05772
"89" 1757.375 -0.07518 -0.02691 -0.057924
"90" 1757.459 -0.0754 -0.02697 -0.058116
"91" 1757.542 -0.07563 -0.02703 -0.05832
"92" 1757.625 -0.07585 -0.02709 -0.058512
"93" 1757.709 -0.07607 -0.02714 -0.058716
"94" 1757.792 -0.0763 -0.0272 -0.05892
"95" 1757.875 -0.07652 -0.02726 -0.059112
"96" 1757.959 -0.07674 -0.02732 -0.059316
"97" 1758.042 -0.07697 -0.02738 -0.059508
"98" 1758.125 -0.07999 -0.02744 -0.063048
"99" 1758.209 -0.08437 -0.02752 -0.068232
"100" 1758.292 -0.08876 -0.02759 -0.073404
"101" 1758.375 -0.09315 -0.02766 -0.078576
"102" 1758.459 -0.09753 -0.02774 -0.08376
"103" 1758.542 -0.10192 -0.02781 -0.088932
"104" 1758.625 -0.10631 -0.02788 -0.094104
"105" 1758.709 -0.11069 -0.02795 -0.099288
"106" 1758.792 -0.11508 -0.02803 -0.10446
"107" 1758.875 -0.11947 -0.0281 -0.109644
"108" 1758.959 -0.12385 -0.02817 -0.114816
"109" 1759.042 -0.12824 -0.02825 -0.119988
"110" 1759.125 -0.13377 -0.02831 -0.126552
"111" 1759.209 -0.13997 -0.02837 -0.133932
"112" 1759.292 -0.14617 -0.02843 -0.1413
"113" 1759.375 -0.15238 -0.02848 -0.148668
"114" 1759.459 -0.15858 -0.02854 -0.156048
"115" 1759.542 -0.16478 -0.0286 -0.163416
"116" 1759.625 -0.17098 -0.02866 -0.170796
"117" 1759.709 -0.17719 -0.02871 -0.178164
"118" 1759.792 -0.18339 -0.02877 -0.185544
"119" 1759.875 -0.18959 -0.02883 -0.192912
"120" 1759.959 -0.19579 -0.02889 -0.200292
"121" 1760.042 -0.202 -0.02895 -0.20766
"122" 1760.125 -0.2542 -0.02899 -0.270252
"123" 1760.209 -0.33843 -0.02903 -0.371268
"124" 1760.292 -0.42266 -0.02907 -0.472296
"125" 1760.375 -0.50688 -0.02911 -0.573324
"126" 1760.459 -0.59111 -0.02915 -0.674352
"127" 1760.542 -0.67534 -0.02919 -0.77538
"128" 1760.625 -0.75957 -0.02923 -0.876408
"129" 1760.709 -0.8438 -0.02927 -0.977436
"130" 1760.792 -0.92803 -0.02931 -1.078452
"131" 1760.875 -1.01225 -0.02935 -1.17948
"132" 1760.959 -1.09648 -0.02939 -1.280508
"133" 1761.042 -1.18071 -0.02943 -1.381536
