"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00051 0 -0.000612
"2" 1750.125 -0.00302 -0.00196 -0.001272
"3" 1750.209 -0.00552 -0.00392 -0.00192
"4" 1750.292 -0.00802 -0.00588 -0.00258
"5" 1750.375 -0.01053 -0.00784 -0.003228
"6" 1750.459 -0.01303 -0.0098 -0.003876
"7" 1750.542 -0.01553 -0.01176 -0.004536
"8" 1750.625 -0.01804 -0.01372 -0.005184
"9" 1750.709 -0.02054 -0.01567 -0.005844
"10" 1750.792 -0.02304 -0.01763 -0.006492
"11" 1750.875 -0.02555 -0.01959 -0.00714
"12" 1750.959 -0.02805 -0.02155 -0.0078
"13" 1751.042 -0.03055 -0.02351 -0.008448
"14" 1751.125 -0.03136 -0.02366 -0.00924
"15" 1751.209 -0.03209 -0.02374 -0.010032
"16" 1751.292 -0.03283 -0.02381 -0.010824
"17" 1751.375 -0.03356 -0.02389 -0.011604
"18" 1751.459 -0.03429 -0.02396 -0.012396
"19" 1751.542 -0.03503 -0.02403 -0.013188
"20" 1751.625 -0.03576 -0.02411 -0.01398
"21" 1751.709 -0.03649 -0.02418 -0.014772
"22" 1751.792 -0.03723 -0.02425 -0.015564
"23" 1751.875 -0.03796 -0.02433 -0.016356
"24" 1751.959 -0.03869 -0.0244 -0.017148
"25" 1752.042 -0.03943 -0.02448 -0.01794
"26" 1752.125 -0.0397 -0.02454 -0.018192
"27" 1752.209 -0.03994 -0.02461 -0.018396
"28" 1752.292 -0.04018 -0.02468 -0.0186
"29" 1752.375 -0.04042 -0.02474 -0.018816
"30" 1752.459 -0.04066 -0.02481 -0.01902
"31" 1752.542 -0.04089 -0.02488 -0.019224
"32" 1752.625 -0.04113 -0.02494 -0.019428
"33" 1752.709 -0.04137 -0.02501 -0.019632
"34" 1752.792 -0.04161 -0.02508 -0.019836
"35" 1752.875 -0.04185 -0.02514 -0.02004
"36" 1752.959 -0.04208 -0.02521 -0.020244
"37" 1753.042 -0.04232 -0.02528 -0.02046
"38" 1753.125 -0.04278 -0.02535 -0.020916
"39" 1753.209 -0.04327 -0.02542 -0.02142
"40" 1753.292 -0.04376 -0.0255 -0.021912
"41" 1753.375 -0.04425 -0.02557 -0.022416
"42" 1753.459 -0.04474 -0.02565 -0.022908
"43" 1753.542 -0.04523 -0.02572 -0.023412
"44" 1753.625 -0.04572 -0.0258 -0.023904
"45" 1753.709 -0.04621 -0.02587 -0.024408
"46" 1753.792 -0.0467 -0.02595 -0.0249
"47" 1753.875 -0.04719 -0.02602 -0.025404
"48" 1753.959 -0.04768 -0.0261 -0.025896
"49" 1754.042 -0.04817 -0.02617 -0.0264
"50" 1754.125 -0.09603 -0.02625 -0.083736
"51" 1754.209 -0.1532 -0.02633 -0.152244
"52" 1754.292 -0.21036 -0.02641 -0.220752
"53" 1754.375 -0.26752 -0.02648 -0.289248
"54" 1754.459 -0.32469 -0.02656 -0.357756
"55" 1754.542 -0.38185 -0.02664 -0.426264
"56" 1754.625 -0.43902 -0.02671 -0.49476
"57" 1754.709 -0.49618 -0.02679 -0.563268
"58" 1754.792 -0.55334 -0.02687 -0.631764
"59" 1754.875 -0.61051 -0.02695 -0.700272
"60" 1754.959 -0.66767 -0.02702 -0.76878
"61" 1755.042 -0.72483 -0.0271 -0.837276
"62" 1755.125 -0.69167 -0.02719 -0.797376
"63" 1755.209 -0.63519 -0.02728 -0.729492
"64" 1755.292 -0.57871 -0.02738 -0.661596
"65" 1755.375 -0.52222 -0.02747 -0.5937
"66" 1755.459 -0.46574 -0.02756 -0.525816
"67" 1755.542 -0.40925 -0.02765 -0.45792
"68" 1755.625 -0.35277 -0.02775 -0.390024
"69" 1755.709 -0.29628 -0.02784 -0.322128
"70" 1755.792 -0.2398 -0.02793 -0.254244
"71" 1755.875 -0.18331 -0.02802 -0.186348
"72" 1755.959 -0.12683 -0.02812 -0.118452
"73" 1756.042 -0.07035 -0.02821 -0.050568
"74" 1756.125 -0.05629 -0.02831 -0.033576
"75" 1756.209 -0.0561 -0.02842 -0.033228
"76" 1756.292 -0.05591 -0.02852 -0.032868
"77" 1756.375 -0.05572 -0.02862 -0.032508
"78" 1756.459 -0.05553 -0.02873 -0.03216
"79" 1756.542 -0.05534 -0.02883 -0.0318
"80" 1756.625 -0.05514 -0.02894 -0.031452
"81" 1756.709 -0.05495 -0.02904 -0.031092
"82" 1756.792 -0.05476 -0.02914 -0.030744
"83" 1756.875 -0.05457 -0.02925 -0.030384
"84" 1756.959 -0.05438 -0.02935 -0.030036
"85" 1757.042 -0.05419 -0.02946 -0.029676
"86" 1757.125 -0.05426 -0.02955 -0.029652
"87" 1757.209 -0.05444 -0.02965 -0.029748
"88" 1757.292 -0.05462 -0.02974 -0.029856
"89" 1757.375 -0.0548 -0.02983 -0.029952
"90" 1757.459 -0.05497 -0.02992 -0.03006
"91" 1757.542 -0.05515 -0.03002 -0.030168
"92" 1757.625 -0.05533 -0.03011 -0.030264
"93" 1757.709 -0.05551 -0.0302 -0.030372
"94" 1757.792 -0.05569 -0.03029 -0.030468
"95" 1757.875 -0.05587 -0.03039 -0.030576
"96" 1757.959 -0.05604 -0.03048 -0.030672
"97" 1758.042 -0.05622 -0.03057 -0.03078
"98" 1758.125 -0.05785 -0.03067 -0.032616
"99" 1758.209 -0.06019 -0.03078 -0.035292
"100" 1758.292 -0.06252 -0.03088 -0.037968
"101" 1758.375 -0.06486 -0.03099 -0.040644
"102" 1758.459 -0.0672 -0.0311 -0.04332
"103" 1758.542 -0.06953 -0.0312 -0.045996
"104" 1758.625 -0.07187 -0.03131 -0.048672
"105" 1758.709 -0.0742 -0.03141 -0.051348
"106" 1758.792 -0.07654 -0.03152 -0.054024
"107" 1758.875 -0.07888 -0.03162 -0.0567
