"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00049 0 -0.000588
"2" 1750.125 -0.00248 -0.00178 -0.00084
"3" 1750.209 -0.00448 -0.00356 -0.001092
"4" 1750.292 -0.00647 -0.00535 -0.001344
"5" 1750.375 -0.00846 -0.00713 -0.001596
"6" 1750.459 -0.01045 -0.00891 -0.001848
"7" 1750.542 -0.01244 -0.01069 -0.0021
"8" 1750.625 -0.01444 -0.01248 -0.002352
"9" 1750.709 -0.01643 -0.01426 -0.002604
"10" 1750.792 -0.01842 -0.01604 -0.002856
"11" 1750.875 -0.02041 -0.01782 -0.003108
"12" 1750.959 -0.0224 -0.01961 -0.00336
"13" 1751.042 -0.0244 -0.02139 -0.003612
"14" 1751.125 -0.02483 -0.02155 -0.003948
"15" 1751.209 -0.0252 -0.02163 -0.004284
"16" 1751.292 -0.02557 -0.02172 -0.00462
"17" 1751.375 -0.02594 -0.02181 -0.004956
"18" 1751.459 -0.02631 -0.0219 -0.005292
"19" 1751.542 -0.02668 -0.02198 -0.005628
"20" 1751.625 -0.02705 -0.02207 -0.005964
"21" 1751.709 -0.02742 -0.02216 -0.006312
"22" 1751.792 -0.02778 -0.02225 -0.006648
"23" 1751.875 -0.02815 -0.02233 -0.006984
"24" 1751.959 -0.02852 -0.02242 -0.00732
"25" 1752.042 -0.02889 -0.02251 -0.007656
"26" 1752.125 -0.02906 -0.02259 -0.007764
"27" 1752.209 -0.02922 -0.02267 -0.00786
"28" 1752.292 -0.02937 -0.02275 -0.007944
"29" 1752.375 -0.02953 -0.02284 -0.008028
"30" 1752.459 -0.02968 -0.02292 -0.008124
"31" 1752.542 -0.02984 -0.023 -0.008208
"32" 1752.625 -0.02999 -0.02308 -0.008292
"33" 1752.709 -0.03015 -0.02316 -0.008376
"34" 1752.792 -0.0303 -0.02324 -0.008472
"35" 1752.875 -0.03046 -0.02333 -0.008556
"36" 1752.959 -0.03061 -0.02341 -0.00864
"37" 1753.042 -0.03077 -0.02349 -0.008736
"38" 1753.125 -0.03101 -0.02357 -0.008928
"39" 1753.209 -0.03128 -0.02366 -0.009144
"40" 1753.292 -0.03154 -0.02374 -0.00936
"41" 1753.375 -0.0318 -0.02383 -0.009564
