"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00047 0 -0.000564
"2" 1750.125 -0.00364 -0.00161 -0.002424
"3" 1750.209 -0.0068 -0.00323 -0.004296
"4" 1750.292 -0.00997 -0.00484 -0.006156
"5" 1750.375 -0.01313 -0.00645 -0.008016
"6" 1750.459 -0.0163 -0.00807 -0.009876
"7" 1750.542 -0.01946 -0.00968 -0.011736
"8" 1750.625 -0.02262 -0.01129 -0.013596
"9" 1750.709 -0.02579 -0.01291 -0.015456
"10" 1750.792 -0.02895 -0.01452 -0.017316
"11" 1750.875 -0.03212 -0.01614 -0.019176
"12" 1750.959 -0.03528 -0.01775 -0.021036
"13" 1751.042 -0.03845 -0.01936 -0.022896
"14" 1751.125 -0.04032 -0.01946 -0.025032
"15" 1751.209 -0.04214 -0.01949 -0.02718
"16" 1751.292 -0.04396 -0.01952 -0.029328
"17" 1751.375 -0.04578 -0.01956 -0.031476
"18" 1751.459 -0.0476 -0.01959 -0.033612
"19" 1751.542 -0.04942 -0.01962 -0.03576
"20" 1751.625 -0.05124 -0.01965 -0.037908
"21" 1751.709 -0.05306 -0.01969 -0.040056
"22" 1751.792 -0.05488 -0.01972 -0.042192
"23" 1751.875 -0.0567 -0.01975 -0.04434
"24" 1751.959 -0.05852 -0.01978 -0.046488
"25" 1752.042 -0.06034 -0.01982 -0.048636
"26" 1752.125 -0.06095 -0.01985 -0.04932
"27" 1752.209 -0.06144 -0.01988 -0.049872
"28" 1752.292 -0.06194 -0.01991 -0.050436
"29" 1752.375 -0.06244 -0.01994 -0.050988
"30" 1752.459 -0.06293 -0.01998 -0.051552
"31" 1752.542 -0.06343 -0.02001 -0.052104
"32" 1752.625 -0.06393 -0.02004 -0.052656
"33" 1752.709 -0.06442 -0.02007 -0.05322
"34" 1752.792 -0.06492 -0.0201 -0.053772
"35" 1752.875 -0.06541 -0.02014 -0.054336
"36" 1752.959 -0.06591 -0.02017 -0.054888
"37" 1753.042 -0.06641 -0.0202 -0.055452
"38" 1753.125 -0.06748 -0.02023 -0.0567
"39" 1753.209 -0.06864 -0.02026 -0.058056
"40" 1753.292 -0.0698 -0.02029 -0.0594
"41" 1753.375 -0.07095 -0.02032 -0.060756
"42" 1753.459 -0.07211 -0.02036 -0.0621
"43" 1753.542 -0.07327 -0.02039 -0.063456
"44" 1753.625 -0.07442 -0.02042 -0.064812
"45" 1753.709 -0.07558 -0.02045 -0.066156
"46" 1753.792 -0.07674 -0.02048 -0.067512
"47" 1753.875 -0.07789 -0.02051 -0.068856
"48" 1753.959 -0.07905 -0.02054 -0.070212
"49" 1754.042 -0.08021 -0.02057 -0.071568
"50" 1754.125 -0.12514 -0.02061 -0.125436
"51" 1754.209 -0.17867 -0.02065 -0.189624
"52" 1754.292 -0.2322 -0.02069 -0.253812
"53" 1754.375 -0.28573 -0.02073 -0.318
"54" 1754.459 -0.33926 -0.02078 -0.382188
"55" 1754.542 -0.39279 -0.02082 -0.446376
"56" 1754.625 -0.44632 -0.02086 -0.510564
"57" 1754.709 -0.49986 -0.0209 -0.574752
"58" 1754.792 -0.55339 -0.02094 -0.638928
"59" 1754.875 -0.60692 -0.02098 -0.703116
"60" 1754.959 -0.66045 -0.02102 -0.767304
"61" 1755.042 -0.71398 -0.02107 -0.831492
"62" 1755.125 -0.68359 -0.02112 -0.794976
"63" 1755.209 -0.63154 -0.02117 -0.732444
"64" 1755.292 -0.57948 -0.02122 -0.669912
"65" 1755.375 -0.52742 -0.02127 -0.60738
"66" 1755.459 -0.47537 -0.02132 -0.544848
"67" 1755.542 -0.42331 -0.02137 -0.482328
"68" 1755.625 -0.37125 -0.02143 -0.419796
"69" 1755.709 -0.3192 -0.02148 -0.357264
"70" 1755.792 -0.26714 -0.02153 -0.294732
"71" 1755.875 -0.21508 -0.02158 -0.2322
"72" 1755.959 -0.16303 -0.02163 -0.169668
"73" 1756.042 -0.11097 -0.02169 -0.107148
"74" 1756.125 -0.0976 -0.02175 -0.09102
"75" 1756.209 -0.09686 -0.02181 -0.09006
"76" 1756.292 -0.09612 -0.02187 -0.0891
"77" 1756.375 -0.09538 -0.02194 -0.08814
"78" 1756.459 -0.09465 -0.022 -0.08718
"79" 1756.542 -0.09391 -0.02207 -0.086208
"80" 1756.625 -0.09317 -0.02213 -0.085248
"81" 1756.709 -0.09244 -0.02219 -0.084288
"82" 1756.792 -0.0917 -0.02226 -0.083328
"83" 1756.875 -0.09096 -0.02232 -0.082368
"84" 1756.959 -0.09023 -0.02239 -0.081408
"85" 1757.042 -0.08949 -0.02245 -0.080448
"86" 1757.125 -0.08948 -0.0225 -0.080364
"87" 1757.209 -0.08976 -0.02256 -0.080652
"88" 1757.292 -0.09005 -0.02261 -0.080928
"89" 1757.375 -0.09033 -0.02266 -0.081204
"90" 1757.459 -0.09062 -0.02271 -0.08148
"91" 1757.542 -0.0909 -0.02276 -0.081768
"92" 1757.625 -0.09118 -0.02282 -0.082044
"93" 1757.709 -0.09147 -0.02287 -0.08232
"94" 1757.792 -0.09175 -0.02292 -0.082596
"95" 1757.875 -0.09204 -0.02297 -0.082872
"96" 1757.959 -0.09232 -0.02302 -0.08316
"97" 1758.042 -0.0926 -0.02307 -0.083436
"98" 1758.125 -0.0968 -0.02314 -0.088404
"99" 1758.209 -0.10292 -0.02321 -0.095652
"100" 1758.292 -0.10904 -0.02327 -0.102912
"101" 1758.375 -0.11515 -0.02334 -0.110172
"102" 1758.459 -0.12127 -0.02341 -0.117432
"103" 1758.542 -0.12738 -0.02348 -0.12468
"104" 1758.625 -0.1335 -0.02355 -0.13194
"105" 1758.709 -0.13962 -0.02362 -0.1392
"106" 1758.792 -0.14573 -0.02369 -0.14646
"107" 1758.875 -0.15185 -0.02375 -0.153708
"108" 1758.959 -0.15796 -0.02382 -0.160968
"109" 1759.042 -0.16408 -0.02389 -0.168228
"110" 1759.125 -0.17006 -0.02396 -0.17532
"111" 1759.209 -0.17597 -0.02403 -0.182328
"112" 1759.292 -0.18187 -0.02409 -0.189336
"113" 1759.375 -0.18778 -0.02416 -0.196344
"114" 1759.459 -0.19368 -0.02423 -0.20334
"115" 1759.542 -0.19959 -0.0243 -0.210348
"116" 1759.625 -0.20549 -0.02436 -0.217356
"117" 1759.709 -0.2114 -0.02443 -0.224364
"118" 1759.792 -0.2173 -0.0245 -0.23136
"119" 1759.875 -0.22321 -0.02457 -0.238368
"120" 1759.959 -0.22911 -0.02463 -0.245376
"121" 1760.042 -0.23502 -0.0247 -0.252384
"122" 1760.125 -0.27886 -0.02476 -0.304932
"123" 1760.209 -0.34913 -0.0248 -0.389184
"124" 1760.292 -0.41939 -0.02485 -0.473448
"125" 1760.375 -0.48965 -0.02489 -0.557712
"126" 1760.459 -0.55991 -0.02494 -0.641964
"127" 1760.542 -0.63017 -0.02498 -0.726228
"128" 1760.625 -0.70044 -0.02503 -0.810492
"129" 1760.709 -0.7707 -0.02507 -0.894744
"130" 1760.792 -0.84096 -0.02512 -0.979008
"131" 1760.875 -0.91122 -0.02516 -1.06326
"132" 1760.959 -0.98149 -0.02521 -1.147524
"133" 1761.042 -1.05175 -0.02525 -1.231788
"134" 1761.125 -1.04868 -0.02532 -1.22802
"135" 1761.209 -0.98525 -0.0254 -1.151808
"136" 1761.292 -0.92181 -0.02548 -1.075596
"137" 1761.375 -0.85838 -0.02557 -0.999372
"138" 1761.459 -0.79495 -0.02565 -0.92316
"139" 1761.542 -0.73152 -0.02573 -0.846948
"140" 1761.625 -0.66809 -0.02581 -0.770724
"141" 1761.709 -0.60466 -0.02589 -0.694512
"142" 1761.792 -0.54122 -0.02597 -0.6183
"143" 1761.875 -0.47779 -0.02606 -0.542088
"144" 1761.959 -0.41436 -0.02614 -0.465864
"145" 1762.042 -0.35093 -0.02622 -0.389652
"146" 1762.125 -0.31213 -0.02628 -0.34302
"147" 1762.209 -0.29724 -0.02633 -0.325092
"148" 1762.292 -0.28234 -0.02638 -0.307164
"149" 1762.375 -0.26745 -0.02642 -0.289236
"150" 1762.459 -0.25256 -0.02647 -0.271308
"151" 1762.542 -0.23766 -0.02652 -0.25338
"152" 1762.625 -0.22277 -0.02656 -0.235452
"153" 1762.709 -0.20788 -0.02661 -0.217524
"154" 1762.792 -0.19299 -0.02666 -0.199596
"155" 1762.875 -0.17809 -0.0267 -0.181668
"156" 1762.959 -0.1632 -0.02675 -0.16374
"157" 1763.042 -0.14831 -0.0268 -0.145812
"158" 1763.125 -0.13791 -0.02683 -0.133296
"159" 1763.209 -0.13265 -0.02685 -0.12696
"160" 1763.292 -0.12739 -0.02687 -0.120612
"161" 1763.375 -0.12212 -0.02689 -0.114276
"162" 1763.459 -0.11686 -0.02691 -0.10794
"163" 1763.542 -0.1116 -0.02693 -0.101604
"164" 1763.625 -0.10634 -0.02695 -0.095268
"165" 1763.709 -0.10108 -0.02697 -0.088932
"166" 1763.792 -0.09582 -0.02699 -0.082596
"167" 1763.875 -0.09056 -0.02701 -0.07626
"168" 1763.959 -0.0853 -0.02703 -0.069924
"169" 1764.042 -0.08004 -0.02705 -0.063576
"170" 1764.125 -0.07799 -0.02706 -0.061116
"171" 1764.209 -0.08028 -0.02704 -0.0639
"172" 1764.292 -0.08258 -0.02702 -0.066672
"173" 1764.375 -0.08487 -0.02699 -0.069444
"174" 1764.459 -0.08716 -0.02697 -0.072228
"175" 1764.542 -0.08945 -0.02695 -0.075
"176" 1764.625 -0.09175 -0.02693 -0.077772
"177" 1764.709 -0.09404 -0.02691 -0.080556
"178" 1764.792 -0.09633 -0.02689 -0.083328
"179" 1764.875 -0.09862 -0.02687 -0.0861
"180" 1764.959 -0.10092 -0.02685 -0.088884
"181" 1765.042 -0.10321 -0.02683 -0.091656
"182" 1765.125 -0.10426 -0.02681 -0.092952
"183" 1765.209 -0.10334 -0.02678 -0.091872
"184" 1765.292 -0.10241 -0.02675 -0.09078
"185" 1765.375 -0.10148 -0.02672 -0.0897
"186" 1765.459 -0.10055 -0.02669 -0.08862
"187" 1765.542 -0.09962 -0.02667 -0.08754
"188" 1765.625 -0.09869 -0.02664 -0.08646
"189" 1765.709 -0.09776 -0.02661 -0.08538
"190" 1765.792 -0.09683 -0.02658 -0.0843
"191" 1765.875 -0.0959 -0.02655 -0.083208
"192" 1765.959 -0.09497 -0.02653 -0.082128
"193" 1766.042 -0.09404 -0.0265 -0.081048
"194" 1766.125 -0.09292 -0.02646 -0.079764
"195" 1766.209 -0.09145 -0.02639 -0.078072
"196" 1766.292 -0.08998 -0.02632 -0.076392
"197" 1766.375 -0.08851 -0.02626 -0.0747
"198" 1766.459 -0.08704 -0.02619 -0.07302
"199" 1766.542 -0.08557 -0.02613 -0.071328
"200" 1766.625 -0.0841 -0.02606 -0.069648
"201" 1766.709 -0.08263 -0.02599 -0.067968
"202" 1766.792 -0.08116 -0.02593 -0.066276
"203" 1766.875 -0.07969 -0.02586 -0.064596
"204" 1766.959 -0.07822 -0.0258 -0.062904
"205" 1767.042 -0.07675 -0.02573 -0.061224
"206" 1767.125 -0.07387 -0.02566 -0.057852
"207" 1767.209 -0.06775 -0.02559 -0.050592
"208" 1767.292 -0.06162 -0.02551 -0.043332
"209" 1767.375 -0.0555 -0.02544 -0.036084
"210" 1767.459 -0.04938 -0.02536 -0.028824
"211" 1767.542 -0.04326 -0.02528 -0.021564
"212" 1767.625 -0.03713 -0.02521 -0.014304
"213" 1767.709 -0.03101 -0.02513 -0.007056
"214" 1767.792 -0.02489 -0.02506 0.000204
"215" 1767.875 -0.01876 -0.02498 0.007464
"216" 1767.959 -0.01264 -0.02491 0.014724
"217" 1768.042 -0.00652 -0.02483 0.021972
"218" 1768.125 -0.00095 -0.02475 0.02856
"219" 1768.209 0.00303 -0.02465 0.033228
"220" 1768.292 0.00702 -0.02456 0.037884
"221" 1768.375 0.011 -0.02446 0.042552
"222" 1768.459 0.01499 -0.02436 0.04722
"223" 1768.542 0.01898 -0.02426 0.051888
"224" 1768.625 0.02296 -0.02417 0.056556
"225" 1768.709 0.02695 -0.02407 0.061224
"226" 1768.792 0.03093 -0.02397 0.065892
"227" 1768.875 0.03492 -0.02388 0.070548
"228" 1768.959 0.0389 -0.02378 0.075216
"229" 1769.042 0.04289 -0.02368 0.079884
"230" 1769.125 0.04681 -0.02358 0.084468
"231" 1769.209 0.05051 -0.02347 0.088776
"232" 1769.292 0.05421 -0.02336 0.093084
"233" 1769.375 0.0579 -0.02325 0.09738
"234" 1769.459 0.0616 -0.02314 0.101688
"235" 1769.542 0.0653 -0.02303 0.105996
"236" 1769.625 0.06899 -0.02292 0.110292
"237" 1769.709 0.07269 -0.02281 0.1146
"238" 1769.792 0.07639 -0.0227 0.118908
"239" 1769.875 0.08008 -0.02259 0.123216
"240" 1769.959 0.08378 -0.02248 0.127512
"241" 1770.042 0.08748 -0.02237 0.13182
"242" 1770.125 0.09 -0.02226 0.134712
"243" 1770.209 0.08712 -0.02216 0.131136
"244" 1770.292 0.08424 -0.02205 0.127548
"245" 1770.375 0.08136 -0.02195 0.123972
"246" 1770.459 0.07848 -0.02184 0.120396
"247" 1770.542 0.0756 -0.02174 0.116808
"248" 1770.625 0.07272 -0.02164 0.113232
"249" 1770.709 0.06984 -0.02153 0.109656
"250" 1770.792 0.06696 -0.02143 0.106068
"251" 1770.875 0.06409 -0.02132 0.102492
"252" 1770.959 0.06121 -0.02122 0.098916
"253" 1771.042 0.05833 -0.02112 0.095328
"254" 1771.125 0.05505 -0.02101 0.091272
"255" 1771.209 0.0493 -0.02091 0.084252
"256" 1771.292 0.04355 -0.02082 0.077232
"257" 1771.375 0.03779 -0.02072 0.070212
"258" 1771.459 0.03204 -0.02062 0.063192
"259" 1771.542 0.02629 -0.02052 0.056172
"260" 1771.625 0.02054 -0.02042 0.049152
