"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00039 0 -0.000468
"2" 1750.125 -0.00202 -0.00158 -0.00054
"3" 1750.209 -0.00366 -0.00315 -0.000612
"4" 1750.292 -0.0053 -0.00473 -0.000696
"5" 1750.375 -0.00694 -0.0063 -0.000768
"6" 1750.459 -0.00858 -0.00788 -0.00084
"7" 1750.542 -0.01022 -0.00945 -0.000924
"8" 1750.625 -0.01186 -0.01103 -0.000996
"9" 1750.709 -0.0135 -0.0126 -0.001068
"10" 1750.792 -0.01514 -0.01418 -0.001152
"11" 1750.875 -0.01678 -0.01576 -0.001224
"12" 1750.959 -0.01842 -0.01733 -0.001308
"13" 1751.042 -0.02005 -0.01891 -0.00138
"14" 1751.125 -0.02029 -0.01904 -0.0015
"15" 1751.209 -0.02047 -0.01911 -0.001632
"16" 1751.292 -0.02064 -0.01917 -0.001764
"17" 1751.375 -0.02082 -0.01924 -0.001896
"18" 1751.459 -0.021 -0.01931 -0.002016
"19" 1751.542 -0.02117 -0.01938 -0.002148
"20" 1751.625 -0.02135 -0.01945 -0.00228
"21" 1751.709 -0.02153 -0.01952 -0.002412
"22" 1751.792 -0.0217 -0.01959 -0.002532
"23" 1751.875 -0.02188 -0.01966 -0.002664
"24" 1751.959 -0.02205 -0.01972 -0.002796
"25" 1752.042 -0.02223 -0.01979 -0.002928
"26" 1752.125 -0.02233 -0.01986 -0.002964
"27" 1752.209 -0.02242 -0.01992 -0.003
"28" 1752.292 -0.02252 -0.01999 -0.003036
"29" 1752.375 -0.02261 -0.02005 -0.00306
"30" 1752.459 -0.0227 -0.02012 -0.003096
"31" 1752.542 -0.02279 -0.02018 -0.003132
"32" 1752.625 -0.02289 -0.02025 -0.003168
"33" 1752.709 -0.02298 -0.02031 -0.003204
"34" 1752.792 -0.02307 -0.02038 -0.003228
"35" 1752.875 -0.02316 -0.02044 -0.003264
"36" 1752.959 -0.02326 -0.02051 -0.0033
"37" 1753.042 -0.02335 -0.02057 -0.003336
"38" 1753.125 -0.02348 -0.02064 -0.003408
"39" 1753.209 -0.02361 -0.0207 -0.003492
"40" 1753.292 -0.02375 -0.02077 -0.003576
"41" 1753.375 -0.02388 -0.02084 -0.003648
"42" 1753.459 -0.02401 -0.0209 -0.003732
"43" 1753.542 -0.02415 -0.02097 -0.003816
"44" 1753.625 -0.02428 -0.02103 -0.0039
"45" 1753.709 -0.02442 -0.0211 -0.003972
"46" 1753.792 -0.02455 -0.02117 -0.004056
"47" 1753.875 -0.02468 -0.02123 -0.00414
"48" 1753.959 -0.02482 -0.0213 -0.004224
"49" 1754.042 -0.02495 -0.02136 -0.004308
"50" 1754.125 -0.06065 -0.02144 -0.047052
"51" 1754.209 -0.10334 -0.02152 -0.098184
"52" 1754.292 -0.14603 -0.02159 -0.149316
"53" 1754.375 -0.18872 -0.02167 -0.200448
"54" 1754.459 -0.2314 -0.02175 -0.251592
"55" 1754.542 -0.27409 -0.02182 -0.302724
"56" 1754.625 -0.31678 -0.0219 -0.353856
"57" 1754.709 -0.35947 -0.02198 -0.404988
"58" 1754.792 -0.40215 -0.02205 -0.45612
"59" 1754.875 -0.44484 -0.02213 -0.507252
"60" 1754.959 -0.48753 -0.02221 -0.558384
"61" 1755.042 -0.53022 -0.02228 -0.609516
"62" 1755.125 -0.50524 -0.02237 -0.579456
"63" 1755.209 -0.4628 -0.02245 -0.52842
"64" 1755.292 -0.42036 -0.02254 -0.477384
"65" 1755.375 -0.37791 -0.02262 -0.426348
"66" 1755.459 -0.33547 -0.0227 -0.375324
"67" 1755.542 -0.29303 -0.02279 -0.324288
"68" 1755.625 -0.25058 -0.02287 -0.273252
"69" 1755.709 -0.20814 -0.02296 -0.222216
"70" 1755.792 -0.16569 -0.02304 -0.17118
"71" 1755.875 -0.12325 -0.02313 -0.120156
"72" 1755.959 -0.08081 -0.02321 -0.06912
"73" 1756.042 -0.03836 -0.02329 -0.018084
"74" 1756.125 -0.02795 -0.02339 -0.005472
"75" 1756.209 -0.02799 -0.02348 -0.005412
"76" 1756.292 -0.02804 -0.02357 -0.005352
"77" 1756.375 -0.02808 -0.02367 -0.005304
"78" 1756.459 -0.02813 -0.02376 -0.005244
"79" 1756.542 -0.02817 -0.02385 -0.005184
"80" 1756.625 -0.02822 -0.02395 -0.005124
"81" 1756.709 -0.02827 -0.02404 -0.005064
"82" 1756.792 -0.02831 -0.02414 -0.005004
"83" 1756.875 -0.02836 -0.02423 -0.004956
"84" 1756.959 -0.0284 -0.02432 -0.004896
"85" 1757.042 -0.02845 -0.02442 -0.004836
"86" 1757.125 -0.02853 -0.0245 -0.004836
"87" 1757.209 -0.02863 -0.02459 -0.004848
"88" 1757.292 -0.02873 -0.02467 -0.00486
"89" 1757.375 -0.02883 -0.02476 -0.004884
"90" 1757.459 -0.02892 -0.02484 -0.004896
"91" 1757.542 -0.02902 -0.02493 -0.00492
"92" 1757.625 -0.02912 -0.02501 -0.004932
"93" 1757.709 -0.02922 -0.02509 -0.004944
"94" 1757.792 -0.02932 -0.02518 -0.004968
"95" 1757.875 -0.02941 -0.02526 -0.00498
"96" 1757.959 -0.02951 -0.02535 -0.005004
"97" 1758.042 -0.02961 -0.02543 -0.005016
"98" 1758.125 -0.02995 -0.02552 -0.005316
"99" 1758.209 -0.03042 -0.02562 -0.005748
"100" 1758.292 -0.03088 -0.02572 -0.006192
"101" 1758.375 -0.03134 -0.02582 -0.006624
"102" 1758.459 -0.0318 -0.02592 -0.007056
"103" 1758.542 -0.03227 -0.02602 -0.0075
"104" 1758.625 -0.03273 -0.02612 -0.007932
"105" 1758.709 -0.03319 -0.02622 -0.008364
"106" 1758.792 -0.03365 -0.02631 -0.008808
"107" 1758.875 -0.03411 -0.02641 -0.00924
"108" 1758.959 -0.03458 -0.02651 -0.009672
