"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00045 0 -0.00054
"2" 1750.125 -0.00088 -0.00094 7.2e-05
"3" 1750.209 -0.00131 -0.00188 0.000684
"4" 1750.292 -0.00174 -0.00282 0.001296
"5" 1750.375 -0.00217 -0.00376 0.001908
"6" 1750.459 -0.0026 -0.0047 0.00252
"7" 1750.542 -0.00302 -0.00564 0.003132
"8" 1750.625 -0.00345 -0.00658 0.003744
"9" 1750.709 -0.00388 -0.00752 0.004356
"10" 1750.792 -0.00431 -0.00846 0.004968
"11" 1750.875 -0.00474 -0.0094 0.00558
"12" 1750.959 -0.00517 -0.01033 0.006192
"13" 1751.042 -0.0056 -0.01127 0.006804
"14" 1751.125 -0.00488 -0.01109 0.007452
"15" 1751.209 -0.00411 -0.01085 0.008088
"16" 1751.292 -0.00335 -0.01061 0.008724
"17" 1751.375 -0.00258 -0.01038 0.00936
"18" 1751.459 -0.00181 -0.01014 0.009996
"19" 1751.542 -0.00104 -0.00991 0.010632
"20" 1751.625 -0.00028 -0.00967 0.01128
"21" 1751.709 0.00049 -0.00944 0.011916
"22" 1751.792 0.00126 -0.0092 0.012552
"23" 1751.875 0.00203 -0.00896 0.013188
"24" 1751.959 0.00279 -0.00873 0.013824
"25" 1752.042 0.00356 -0.00849 0.01446
"26" 1752.125 0.00397 -0.00826 0.014664
"27" 1752.209 0.00434 -0.00803 0.014832
"28" 1752.292 0.00471 -0.00779 0.015
"29" 1752.375 0.00508 -0.00756 0.015168
"30" 1752.459 0.00545 -0.00733 0.015336
"31" 1752.542 0.00582 -0.00709 0.015492
"32" 1752.625 0.00619 -0.00686 0.01566
"33" 1752.709 0.00656 -0.00663 0.015828
"34" 1752.792 0.00693 -0.0064 0.015996
"35" 1752.875 0.0073 -0.00616 0.016164
"36" 1752.959 0.00767 -0.00593 0.016332
"37" 1753.042 0.00805 -0.0057 0.016488
"38" 1753.125 0.00857 -0.00549 0.01686
"39" 1753.209 0.00911 -0.00528 0.017268
"40" 1753.292 0.00965 -0.00507 0.017664
"41" 1753.375 0.01019 -0.00486 0.018072
"42" 1753.459 0.01074 -0.00466 0.018468
"43" 1753.542 0.01128 -0.00445 0.018876
"44" 1753.625 0.01182 -0.00424 0.019272
"45" 1753.709 0.01237 -0.00403 0.01968
"46" 1753.792 0.01291 -0.00383 0.020076
"47" 1753.875 0.01345 -0.00362 0.020484
"48" 1753.959 0.01399 -0.00341 0.02088
"49" 1754.042 0.01454 -0.0032 0.021288
"50" 1754.125 -0.02626 -0.00298 -0.027936
"51" 1754.209 -0.07517 -0.00276 -0.086892
"52" 1754.292 -0.12409 -0.00253 -0.14586
"53" 1754.375 -0.173 -0.00231 -0.204828
"54" 1754.459 -0.22192 -0.00209 -0.263796
"55" 1754.542 -0.27083 -0.00187 -0.322752
"56" 1754.625 -0.31974 -0.00164 -0.38172
"57" 1754.709 -0.36866 -0.00142 -0.440688
"58" 1754.792 -0.41757 -0.0012 -0.499656
"59" 1754.875 -0.46649 -0.00097 -0.558612
"60" 1754.959 -0.5154 -0.00075 -0.61758
"61" 1755.042 -0.56432 -0.00053 -0.676548
"62" 1755.125 -0.5348 -0.00031 -0.641388
"63" 1755.209 -0.48504 -9e-05 -0.581928
"64" 1755.292 -0.43527 0.00013 -0.52248
"65" 1755.375 -0.3855 0.00034 -0.46302
"66" 1755.459 -0.33574 0.00056 -0.40356
"67" 1755.542 -0.28597 0.00078 -0.3441
"68" 1755.625 -0.23621 0.001 -0.28464
"69" 1755.709 -0.18644 0.00121 -0.225192
"70" 1755.792 -0.13668 0.00143 -0.165732
"71" 1755.875 -0.08691 0.00165 -0.106272
"72" 1755.959 -0.03714 0.00187 -0.046812
"73" 1756.042 0.01262 0.00208 0.012648
"74" 1756.125 0.02484 0.00228 0.027072
"75" 1756.209 0.02479 0.00247 0.026784
"76" 1756.292 0.02474 0.00266 0.026496
"77" 1756.375 0.02469 0.00284 0.02622
"78" 1756.459 0.02464 0.00303 0.025932
"79" 1756.542 0.02459 0.00322 0.025644
"80" 1756.625 0.02454 0.00341 0.025356
"81" 1756.709 0.02449 0.0036 0.025068
"82" 1756.792 0.02444 0.00379 0.02478
"83" 1756.875 0.02439 0.00397 0.024504
"84" 1756.959 0.02434 0.00416 0.024216
"85" 1757.042 0.02429 0.00435 0.023928
"86" 1757.125 0.02448 0.00456 0.023904
"87" 1757.209 0.02477 0.00478 0.023988
"88" 1757.292 0.02505 0.00499 0.024072
"89" 1757.375 0.02534 0.00521 0.024156
"90" 1757.459 0.02563 0.00543 0.02424
"91" 1757.542 0.02591 0.00565 0.024324
"92" 1757.625 0.0262 0.00586 0.024396
"93" 1757.709 0.02648 0.00608 0.02448
"94" 1757.792 0.02677 0.0063 0.024564
"95" 1757.875 0.02706 0.00652 0.024648
"96" 1757.959 0.02734 0.00673 0.024732
"97" 1758.042 0.02763 0.00695 0.024816
"98" 1758.125 0.02905 0.00714 0.026292
"99" 1758.209 0.03103 0.00732 0.028452
"100" 1758.292 0.03301 0.0075 0.030612
"101" 1758.375 0.03498 0.00768 0.032772
"102" 1758.459 0.03696 0.00785 0.034932
"103" 1758.542 0.03894 0.00803 0.03708
"104" 1758.625 0.04091 0.00821 0.03924
"105" 1758.709 0.04289 0.00839 0.0414
"106" 1758.792 0.04487 0.00857 0.04356
"107" 1758.875 0.04684 0.00874 0.04572
"108" 1758.959 0.04882 0.00892 0.04788
"109" 1759.042 0.0508 0.0091 0.05004
"110" 1759.125 0.04903 0.00928 0.0477
"111" 1759.209 0.04506 0.00946 0.04272
"112" 1759.292 0.0411 0.00964 0.037752
"113" 1759.375 0.03714 0.00982 0.032772
"114" 1759.459 0.03317 0.01 0.027804
"115" 1759.542 0.02921 0.01019 0.022824
"116" 1759.625 0.02524 0.01037 0.017856
"117" 1759.709 0.02128 0.01055 0.012876
"118" 1759.792 0.01732 0.01073 0.007908
"119" 1759.875 0.01335 0.01091 0.002928
"120" 1759.959 0.00939 0.01109 -0.00204
"121" 1760.042 0.00542 0.01127 -0.00702
"122" 1760.125 -0.04347 0.01146 -0.065916
"123" 1760.209 -0.12364 0.01166 -0.16236
"124" 1760.292 -0.20381 0.01186 -0.258816
"125" 1760.375 -0.28398 0.01206 -0.35526
"126" 1760.459 -0.36415 0.01226 -0.451704
"127" 1760.542 -0.44433 0.01246 -0.548148
"128" 1760.625 -0.5245 0.01266 -0.644592
"129" 1760.709 -0.60467 0.01286 -0.741036
"130" 1760.792 -0.68484 0.01306 -0.83748
"131" 1760.875 -0.76501 0.01326 -0.933924
"132" 1760.959 -0.84518 0.01346 -1.03038
"133" 1761.042 -0.92536 0.01366 -1.126824
"134" 1761.125 -0.92917 0.01385 -1.131612
"135" 1761.209 -0.87012 0.01402 -1.060968
"136" 1761.292 -0.81108 0.01419 -0.990324
"137" 1761.375 -0.75204 0.01437 -0.919692
"138" 1761.459 -0.693 0.01454 -0.849048
"139" 1761.542 -0.63396 0.01471 -0.778404
"140" 1761.625 -0.57491 0.01488 -0.70776
"141" 1761.709 -0.51587 0.01506 -0.637116
"142" 1761.792 -0.45683 0.01523 -0.566472
"143" 1761.875 -0.39779 0.0154 -0.495828
"144" 1761.959 -0.33875 0.01557 -0.425184
"145" 1762.042 -0.2797 0.01575 -0.35454
"146" 1762.125 -0.24251 0.01593 -0.310116
"147" 1762.209 -0.22651 0.01611 -0.291156
"148" 1762.292 -0.21052 0.0163 -0.272184
"149" 1762.375 -0.19453 0.01648 -0.253212
