"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00043 0 -0.000516
"2" 1750.125 -0.00301 -0.00157 -0.001728
"3" 1750.209 -0.00558 -0.00313 -0.00294
"4" 1750.292 -0.00815 -0.0047 -0.00414
"5" 1750.375 -0.01073 -0.00627 -0.005352
"6" 1750.459 -0.0133 -0.00784 -0.006552
"7" 1750.542 -0.01587 -0.0094 -0.007764
"8" 1750.625 -0.01845 -0.01097 -0.008964
"9" 1750.709 -0.02102 -0.01254 -0.010176
"10" 1750.792 -0.02359 -0.01411 -0.011388
"11" 1750.875 -0.02617 -0.01567 -0.012588
"12" 1750.959 -0.02874 -0.01724 -0.0138
"13" 1751.042 -0.03131 -0.01881 -0.015
"14" 1751.125 -0.0325 -0.01883 -0.016404
"15" 1751.209 -0.03362 -0.01878 -0.017808
"16" 1751.292 -0.03475 -0.01874 -0.019212
"17" 1751.375 -0.03587 -0.01869 -0.020616
"18" 1751.459 -0.037 -0.01865 -0.02202
"19" 1751.542 -0.03812 -0.0186 -0.023424
"20" 1751.625 -0.03925 -0.01855 -0.024828
"21" 1751.709 -0.04037 -0.01851 -0.026244
"22" 1751.792 -0.0415 -0.01846 -0.027648
"23" 1751.875 -0.04263 -0.01842 -0.029052
"24" 1751.959 -0.04375 -0.01837 -0.030456
"25" 1752.042 -0.04488 -0.01833 -0.03186
"26" 1752.125 -0.0452 -0.01828 -0.032316
"27" 1752.209 -0.04546 -0.01823 -0.032676
"28" 1752.292 -0.04571 -0.01818 -0.033036
"29" 1752.375 -0.04596 -0.01813 -0.033408
"30" 1752.459 -0.04622 -0.01808 -0.033768
"31" 1752.542 -0.04647 -0.01802 -0.03414
"32" 1752.625 -0.04672 -0.01797 -0.0345
"33" 1752.709 -0.04698 -0.01792 -0.03486
"34" 1752.792 -0.04723 -0.01787 -0.035232
"35" 1752.875 -0.04749 -0.01782 -0.035592
"36" 1752.959 -0.04774 -0.01777 -0.035964
"37" 1753.042 -0.04799 -0.01772 -0.036324
"38" 1753.125 -0.04865 -0.01769 -0.037152
"39" 1753.209 -0.04936 -0.01767 -0.038028
"40" 1753.292 -0.05007 -0.01764 -0.038916
"41" 1753.375 -0.05078 -0.01761 -0.039804
"42" 1753.459 -0.05149 -0.01759 -0.040692
"43" 1753.542 -0.0522 -0.01756 -0.041568
"44" 1753.625 -0.05291 -0.01753 -0.042456
"45" 1753.709 -0.05363 -0.01751 -0.043344
