"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00047 0 -0.000564
"2" 1750.125 -0.00359 -0.00179 -0.00216
"3" 1750.209 -0.00671 -0.00359 -0.003744
"4" 1750.292 -0.00983 -0.00538 -0.00534
"5" 1750.375 -0.01295 -0.00718 -0.006936
"6" 1750.459 -0.01607 -0.00897 -0.00852
"7" 1750.542 -0.01919 -0.01076 -0.010116
"8" 1750.625 -0.02231 -0.01256 -0.0117
"9" 1750.709 -0.02543 -0.01435 -0.013296
"10" 1750.792 -0.02855 -0.01615 -0.014892
"11" 1750.875 -0.03167 -0.01794 -0.016476
"12" 1750.959 -0.03479 -0.01973 -0.018072
"13" 1751.042 -0.03791 -0.02153 -0.019656
"14" 1751.125 -0.03951 -0.0216 -0.021492
"15" 1751.209 -0.04104 -0.0216 -0.023328
"16" 1751.292 -0.04257 -0.02159 -0.025176
"17" 1751.375 -0.0441 -0.02159 -0.027012
"18" 1751.459 -0.04563 -0.02159 -0.02886
"19" 1751.542 -0.04717 -0.02158 -0.030696
"20" 1751.625 -0.0487 -0.02158 -0.032544
"21" 1751.709 -0.05023 -0.02158 -0.03438
"22" 1751.792 -0.05176 -0.02158 -0.036228
"23" 1751.875 -0.05329 -0.02157 -0.038064
"24" 1751.959 -0.05482 -0.02157 -0.0399
"25" 1752.042 -0.05636 -0.02157 -0.041748
"26" 1752.125 -0.05684 -0.02156 -0.042336
"27" 1752.209 -0.05724 -0.02156 -0.042816
"28" 1752.292 -0.05763 -0.02155 -0.043296
"29" 1752.375 -0.05802 -0.02155 -0.043776
"30" 1752.459 -0.05842 -0.02154 -0.044244
"31" 1752.542 -0.05881 -0.02154 -0.044724
"32" 1752.625 -0.0592 -0.02153 -0.045204
"33" 1752.709 -0.0596 -0.02153 -0.045684
"34" 1752.792 -0.05999 -0.02152 -0.046164
"35" 1752.875 -0.06039 -0.02152 -0.046644
"36" 1752.959 -0.06078 -0.02151 -0.047124
"37" 1753.042 -0.06117 -0.02151 -0.047604
"38" 1753.125 -0.06207 -0.02151 -0.048672
"39" 1753.209 -0.06305 -0.02152 -0.049836
"40" 1753.292 -0.06402 -0.02152 -0.050988
"41" 1753.375 -0.06499 -0.02153 -0.052152
"42" 1753.459 -0.06596 -0.02153 -0.053316
"43" 1753.542 -0.06693 -0.02154 -0.054468
"44" 1753.625 -0.0679 -0.02154 -0.055632
"45" 1753.709 -0.06888 -0.02155 -0.056796
"46" 1753.792 -0.06985 -0.02155 -0.057948
"47" 1753.875 -0.07082 -0.02156 -0.059112
"48" 1753.959 -0.07179 -0.02156 -0.060276
"49" 1754.042 -0.07276 -0.02157 -0.061428
"50" 1754.125 -0.11725 -0.02157 -0.114816
"51" 1754.209 -0.17028 -0.02157 -0.178452
"52" 1754.292 -0.22332 -0.02158 -0.242088
"53" 1754.375 -0.27635 -0.02158 -0.305724
"54" 1754.459 -0.32939 -0.02158 -0.369372
"55" 1754.542 -0.38242 -0.02159 -0.433008
"56" 1754.625 -0.43546 -0.02159 -0.496644
"57" 1754.709 -0.4885 -0.02159 -0.56028
"58" 1754.792 -0.54153 -0.0216 -0.623916
"59" 1754.875 -0.59457 -0.0216 -0.687564
"60" 1754.959 -0.6476 -0.0216 -0.7512
"61" 1755.042 -0.70064 -0.02161 -0.814836
"62" 1755.125 -0.67033 -0.02162 -0.778452
"63" 1755.209 -0.6185 -0.02164 -0.716232
"64" 1755.292 -0.56667 -0.02165 -0.654012
"65" 1755.375 -0.51484 -0.02167 -0.591804
"66" 1755.459 -0.46301 -0.02169 -0.529584
