"year" "UF_tot" "UF_ant" "UF_nat"
"1" 1750.042 -0.00044 0 -0.000528
"2" 1750.125 -0.0034 -0.00168 -0.002064
"3" 1750.209 -0.00636 -0.00336 -0.003612
"4" 1750.292 -0.00933 -0.00504 -0.005148
"5" 1750.375 -0.01229 -0.00672 -0.006696
"6" 1750.459 -0.01526 -0.00839 -0.008232
"7" 1750.542 -0.01822 -0.01007 -0.00978
"8" 1750.625 -0.02119 -0.01175 -0.011328
"9" 1750.709 -0.02415 -0.01343 -0.012864
"10" 1750.792 -0.02712 -0.01511 -0.014412
"11" 1750.875 -0.03008 -0.01679 -0.015948
"12" 1750.959 -0.03305 -0.01847 -0.017496
"13" 1751.042 -0.03601 -0.02015 -0.019032
"14" 1751.125 -0.0377 -0.02036 -0.020808
"15" 1751.209 -0.03933 -0.0205 -0.022596
"16" 1751.292 -0.04096 -0.02064 -0.024372
"17" 1751.375 -0.04259 -0.02079 -0.02616
"18" 1751.459 -0.04422 -0.02093 -0.027948
"19" 1751.542 -0.04585 -0.02108 -0.029724
"20" 1751.625 -0.04748 -0.02122 -0.031512
"21" 1751.709 -0.04911 -0.02137 -0.033288
"22" 1751.792 -0.05074 -0.02151 -0.035076
"23" 1751.875 -0.05237 -0.02166 -0.036864
"24" 1751.959 -0.054 -0.0218 -0.03864
"25" 1752.042 -0.05563 -0.02195 -0.040428
"26" 1752.125 -0.05626 -0.02209 -0.040992
"27" 1752.209 -0.05679 -0.02224 -0.04146
"28" 1752.292 -0.05732 -0.02239 -0.041928
"29" 1752.375 -0.05786 -0.02253 -0.042384
"30" 1752.459 -0.05839 -0.02268 -0.042852
"31" 1752.542 -0.05892 -0.02283 -0.043308
"32" 1752.625 -0.05945 -0.02297 -0.043776
"33" 1752.709 -0.05999 -0.02312 -0.044244
"34" 1752.792 -0.06052 -0.02327 -0.0447
"35" 1752.875 -0.06105 -0.02341 -0.045168
"36" 1752.959 -0.06159 -0.02356 -0.045624
"37" 1753.042 -0.06212 -0.02371 -0.046092
"38" 1753.125 -0.06313 -0.02385 -0.047136
"39" 1753.209 -0.06421 -0.02399 -0.048252
"40" 1753.292 -0.06528 -0.02413 -0.04938
"41" 1753.375 -0.06636 -0.02428 -0.050508
"42" 1753.459 -0.06744 -0.02442 -0.051624
"43" 1753.542 -0.06852 -0.02456 -0.052752
"44" 1753.625 -0.0696 -0.0247 -0.053868
"45" 1753.709 -0.07067 -0.02484 -0.054996
"46" 1753.792 -0.07175 -0.02499 -0.056124
"47" 1753.875 -0.07283 -0.02513 -0.05724
"48" 1753.959 -0.07391 -0.02527 -0.058368
"49" 1754.042 -0.07499 -0.02541 -0.059484
"50" 1754.125 -0.11628 -0.02557 -0.108852
"51" 1754.209 -0.16547 -0.02573 -0.167688
"52" 1754.292 -0.21466 -0.02588 -0.226536
"53" 1754.375 -0.26385 -0.02604 -0.285372
"54" 1754.459 -0.31304 -0.0262 -0.344208
"55" 1754.542 -0.36223 -0.02636 -0.403044
"56" 1754.625 -0.41142 -0.02651 -0.461892
"57" 1754.709 -0.46061 -0.02667 -0.520728
"58" 1754.792 -0.5098 -0.02683 -0.579564
"59" 1754.875 -0.55899 -0.02698 -0.6384
"60" 1754.959 -0.60818 -0.02714 -0.697248
"61" 1755.042 -0.65737 -0.0273 -0.756084
"62" 1755.125 -0.62954 -0.02746 -0.722496
"63" 1755.209 -0.58182 -0.02763 -0.665028
"64" 1755.292 -0.5341 -0.0278 -0.607572
"65" 1755.375 -0.48638 -0.02796 -0.550104
"66" 1755.459 -0.43867 -0.02813 -0.492648
"67" 1755.542 -0.39095 -0.02829 -0.43518
"68" 1755.625 -0.34323 -0.02846 -0.377724
"69" 1755.709 -0.29551 -0.02863 -0.320256
"70" 1755.792 -0.24779 -0.02879 -0.2628
"71" 1755.875 -0.20007 -0.02896 -0.205332
"72" 1755.959 -0.15236 -0.02912 -0.147876
"73" 1756.042 -0.10464 -0.02929 -0.09042
"74" 1756.125 -0.09252 -0.02947 -0.07566
"75" 1756.209 -0.09205 -0.02966 -0.074868
"76" 1756.292 -0.09157 -0.02985 -0.074064
